metric_id,dataset,official_source_url,source_file,source_sheet,source_cell_row_1_based,source_cell_col_1_based,population,sex,jurisdiction,period,reference_period,experience_window,indicator,value_percent,rse_percent,reliability_flag,unit,notes
Table_2.3_r40_c3_Males_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 2.3,40,3,Persons aged 18 years and over,Males,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Boyfriend/girlfriend/date violence in the last 12 months,0.1,,not_available_or_not_applicable,percent,
Table_3.1_r11_c2_Females_Australia_1996,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,11,2,Persons aged 18 years and over,Females,Australia,1996,"2021-22 release, released 2023-03-15",Last 12 months,Total sexual violence in the last 12 months,1.9,11.8,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r11_c3_Females_Australia_2005,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,11,3,Persons aged 18 years and over,Females,Australia,2005,"2021-22 release, released 2023-03-15",Last 12 months,Total sexual violence in the last 12 months,1.6,8.4,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r11_c4_Females_Australia_2012,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,11,4,Persons aged 18 years and over,Females,Australia,2012,"2021-22 release, released 2023-03-15",Last 12 months,Total sexual violence in the last 12 months,1.2,13.8,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r11_c5_Females_Australia_2016,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,11,5,Persons aged 18 years and over,Females,Australia,2016,"2021-22 release, released 2023-03-15",Last 12 months,Total sexual violence in the last 12 months,1.8,11.2,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r11_c6_Females_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,11,6,Persons aged 18 years and over,Females,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Total sexual violence in the last 12 months,1.9,10.8,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r11_c7_Males_Australia_2005,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,11,7,Persons aged 18 years and over,Males,Australia,2005,"2021-22 release, released 2023-03-15",Last 12 months,Total sexual violence in the last 12 months,0.6,24.1,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r11_c8_Males_Australia_2012,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,11,8,Persons aged 18 years and over,Males,Australia,2012,"2021-22 release, released 2023-03-15",Last 12 months,Total sexual violence in the last 12 months,0.5,31.4,use_with_caution_rse_25_to_50,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r11_c9_Males_Australia_2016,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,11,9,Persons aged 18 years and over,Males,Australia,2016,"2021-22 release, released 2023-03-15",Last 12 months,Total sexual violence in the last 12 months,0.7,25.0,use_with_caution_rse_25_to_50,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r11_c10_Males_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,11,10,Persons aged 18 years and over,Males,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Total sexual violence in the last 12 months,0.8,,not_available_or_not_applicable,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
