state_name,state_code,value_percent,display_value,rse_percent,indicator,indicator_zh,population,experience_window,survey_release,source,source_url
Victoria,VIC,27.4,27.4%,4.8,Partner or family member violence since age 15,自15岁以来经历伴侣或家庭成员暴力,Women aged 18 years and over,Since age 15,ABS PSS 2021–22 (released 15 Mar 2023),"Australian Bureau of Statistics, Personal Safety Survey 2021–22, Table 9.3; RSE Table 9.4",https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release
Queensland,QLD,31.0,31.0%,4.2,Partner or family member violence since age 15,自15岁以来经历伴侣或家庭成员暴力,Women aged 18 years and over,Since age 15,ABS PSS 2021–22 (released 15 Mar 2023),"Australian Bureau of Statistics, Personal Safety Survey 2021–22, Table 9.3; RSE Table 9.4",https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release
South Australia,SA,28.0,28.0%,4.8,Partner or family member violence since age 15,自15岁以来经历伴侣或家庭成员暴力,Women aged 18 years and over,Since age 15,ABS PSS 2021–22 (released 15 Mar 2023),"Australian Bureau of Statistics, Personal Safety Survey 2021–22, Table 9.3; RSE Table 9.4",https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release
Western Australia,WA,28.5,28.5%,5.1,Partner or family member violence since age 15,自15岁以来经历伴侣或家庭成员暴力,Women aged 18 years and over,Since age 15,ABS PSS 2021–22 (released 15 Mar 2023),"Australian Bureau of Statistics, Personal Safety Survey 2021–22, Table 9.3; RSE Table 9.4",https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release
Tasmania,TAS,30.8,30.8%,4.8,Partner or family member violence since age 15,自15岁以来经历伴侣或家庭成员暴力,Women aged 18 years and over,Since age 15,ABS PSS 2021–22 (released 15 Mar 2023),"Australian Bureau of Statistics, Personal Safety Survey 2021–22, Table 9.3; RSE Table 9.4",https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release
Northern Territory,NT,32.8,32.8%,7.0,Partner or family member violence since age 15,自15岁以来经历伴侣或家庭成员暴力,Women aged 18 years and over,Since age 15,ABS PSS 2021–22 (released 15 Mar 2023),"Australian Bureau of Statistics, Personal Safety Survey 2021–22, Table 9.3; RSE Table 9.4",https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release
Australian Capital Territory,ACT,26.8,26.8%,6.0,Partner or family member violence since age 15,自15岁以来经历伴侣或家庭成员暴力,Women aged 18 years and over,Since age 15,ABS PSS 2021–22 (released 15 Mar 2023),"Australian Bureau of Statistics, Personal Safety Survey 2021–22, Table 9.3; RSE Table 9.4",https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release
New South Wales,NSW,21.0,21.0%,6.2,Intimate partner violence since age 15,自15岁以来经历亲密伴侣暴力,Women aged 18 years and over,Since age 15,ABS PSS 2021–22 (released 15 Mar 2023),"Australian Bureau of Statistics, Personal Safety Survey 2021–22, Table 9.3; RSE Table 9.4",https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release
Victoria,VIC,22.6,22.6%,5.2,Intimate partner violence since age 15,自15岁以来经历亲密伴侣暴力,Women aged 18 years and over,Since age 15,ABS PSS 2021–22 (released 15 Mar 2023),"Australian Bureau of Statistics, Personal Safety Survey 2021–22, Table 9.3; RSE Table 9.4",https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release
Queensland,QLD,26.4,26.4%,4.4,Intimate partner violence since age 15,自15岁以来经历亲密伴侣暴力,Women aged 18 years and over,Since age 15,ABS PSS 2021–22 (released 15 Mar 2023),"Australian Bureau of Statistics, Personal Safety Survey 2021–22, Table 9.3; RSE Table 9.4",https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release
